Num	Time	Tasks(n)	CPU Idle(%)	Mem Occ(k)	fbi	joe	vim	top
1	09:01:20	37	96.4	107536	Nil	Nil	Nil	0	
2	09:01:21	38	92.2	108432	5.9	Nil	Nil	0	
3	09:01:22	38	48.5	111904	49.4	Nil	Nil	2	
4	09:01:23	38	99.0	111904	0	Nil	Nil	2	
5	09:01:24	38	81.2	113136	17.9	Nil	Nil	2	
6	09:01:25	38	75.2	113248	23.8	Nil	Nil	0	
7	09:01:26	38	61.4	113248	37.7	Nil	Nil	0	
8	09:01:27	37	89.1	107872	Nil	Nil	Nil	2	
9	09:01:28	37	99.0	107872	Nil	Nil	Nil	0	
10	09:01:29	38	66.3	110336	31.7	Nil	Nil	0	
11	09:01:30	38	73.3	112576	25.7	Nil	Nil	2	
12	09:01:31	38	59.4	113248	39.5	Nil	Nil	2	
13	09:01:32	38	58.3	113248	39.1	Nil	Nil	0	
14	09:01:33	38	80.2	113248	19.8	Nil	Nil	2	
15	09:01:34	37	96.0	107984	Nil	Nil	Nil	0	
16	09:01:35	37	99.0	107984	Nil	Nil	Nil	2	
17	09:01:36	37	99.0	107984	Nil	Nil	Nil	0	
18	09:01:37	38	73.3	110448	23.8	Nil	Nil	0	
19	09:01:38	38	67.6	112128	31.6	Nil	Nil	2	
20	09:01:39	38	51.0	113360	47.4	Nil	Nil	2	
21	09:01:40	38	43.0	113360	55.3	Nil	Nil	0	
22	09:01:41	37	96.0	108096	Nil	Nil	Nil	2	
23	09:01:42	37	94.1	108096	Nil	Nil	Nil	0	
24	09:01:43	37	100.0	108096	Nil	Nil	Nil	0	
25	09:01:44	37	98.0	108096	Nil	Nil	Nil	2	
26	09:01:45	37	97.0	108096	Nil	Nil	Nil	2	
27	09:01:46	37	99.0	108096	Nil	Nil	Nil	0	
28	09:01:47	37	99.0	108096	Nil	Nil	Nil	0	
29	09:01:48	37	98.0	108096	Nil	Nil	Nil	0	
30	09:01:49	37	100.0	108096	Nil	Nil	Nil	2	
31	09:01:50	37	98.0	108096	Nil	Nil	Nil	0	
32	09:01:51	37	100.0	108096	Nil	Nil	Nil	2	
33	09:01:52	37	98.0	108096	Nil	Nil	Nil	0	
34	09:01:53	37	99.0	108096	Nil	Nil	Nil	2	
35	09:01:54	38	79.0	109216	Nil	Nil	11.9	0	
36	09:01:55	38	97.1	109216	Nil	Nil	2	0	
37	09:01:56	38	94.0	109216	Nil	Nil	5.9	2	
38	09:01:57	38	86.3	109216	Nil	Nil	11.9	0	
39	09:01:58	38	87.0	109216	Nil	Nil	11.9	2	
40	09:01:59	38	87.3	109216	Nil	Nil	11.8	2	
41	09:02:00	38	99.0	109216	Nil	Nil	0	0	
42	09:02:01	38	99.0	109216	Nil	Nil	0	2	
43	09:02:02	38	98.0	109216	Nil	Nil	0	0	
44	09:02:03	37	99.0	108656	Nil	Nil	Nil	0	
45	09:02:04	37	98.0	108656	Nil	Nil	Nil	0	
46	09:02:05	37	100.0	108656	Nil	Nil	Nil	2	
47	09:02:06	37	99.0	108656	Nil	Nil	Nil	0	
48	09:02:07	38	91.1	109104	Nil	2	Nil	2	
49	09:02:08	37	98.0	108656	Nil	Nil	Nil	0	
50	09:02:09	37	95.1	108656	Nil	Nil	Nil	2	
51	09:02:10	37	100.0	108656	Nil	Nil	Nil	0	
52	09:02:11	37	100.0	108656	Nil	Nil	Nil	2	
53	09:02:12	37	99.0	108656	Nil	Nil	Nil	2	
54	09:02:13	37	99.0	108656	Nil	Nil	Nil	0	
55	09:02:14	37	99.0	108656	Nil	Nil	Nil	2	
56	09:02:15	37	99.0	108656	Nil	Nil	Nil	0	
57	09:02:16	37	99.0	108656	Nil	Nil	Nil	0	
58	09:02:17	38	92.1	109216	Nil	2	Nil	0	
59	09:02:18	38	99.0	109216	Nil	2	Nil	2	
60	09:02:19	38	83.2	109216	Nil	15.9	Nil	0	
61	09:02:20	38	94.0	109216	Nil	4	Nil	0	
62	09:02:21	37	98.0	108768	Nil	Nil	Nil	2	
63	09:02:22	37	98.0	108768	Nil	Nil	Nil	0	
64	09:02:23	37	99.0	108768	Nil	Nil	Nil	2	
